,0,1,2
0,computer vision CNN,2014,CNN features off-the-shelf: an astounding baseline for recognition
1,computer vision CNN,2016,Is faster R-CNN doing well for pedestrian detection?
2,computer vision CNN,2020,CNN-LSTM deep learning architecture for computer vision-based modal frequency detection
3,computer vision CNN,2016,Unsupervised cnn for single view depth estimation: Geometry to the rescue
4,computer vision CNN,2019,Socodecnn: Program source code for visual cnn classification using computer vision methodology
5,computer vision CNN,2016,"Deep convolutional neural networks for computer-aided detection: CNN architectures, dataset characteristics and transfer learning"
6,computer vision CNN,2018,A guide to convolutional neural networks for computer vision
7,computer vision CNN,2017,Genetic cnn
8,computer vision CNN,2016,Unconstrained face verification using deep cnn features
9,computer vision CNN,2017,Towards closing the energy gap between HOG and CNN features for embedded vision
0,computer vision CNN,2017,CNN design for real-time traffic sign recognition
1,computer vision CNN,2019,Grid r-cnn
2,computer vision CNN,2017,Face r-cnn
3,computer vision CNN,2016,Faster r-cnn features for instance search
4,computer vision CNN,2016,Learning to count with cnn boosting
5,computer vision CNN,2019,Mask scoring r-cnn
6,computer vision CNN,2018,Falls from heights: A computer vision-based approach for safety harness detection
7,computer vision CNN,2020,CSPNet: A new backbone that can enhance learning capability of CNN
8,computer vision CNN,2016,Multi-scale triplet cnn for person re-identification
9,computer vision CNN,2017,Tube convolutional neural network (t-cnn) for action detection in videos
0,computer vision CNN,2016,Fused-layer CNN accelerators
1,computer vision CNN,2017,Handcrafted vs. non-handcrafted features for computer vision classification
2,computer vision CNN,2020,Object detection based on RGC mask R-CNN
3,computer vision CNN,2015,Render for cnn: Viewpoint estimation in images using cnns trained with rendered 3d model views
4,computer vision CNN,2017,Iris recognition with off-the-shelf CNN features: A deep learning perspective
5,computer vision CNN,2017,Learning deep CNN denoiser prior for image restoration
6,computer vision CNN,2016,A taxonomy of deep convolutional neural nets for computer vision
7,computer vision CNN,2018,A study on cnn transfer learning for image classification
8,computer vision CNN,2017,Ship detection in SAR images based on an improved faster R-CNN
9,computer vision CNN,2018,Multi-level wavelet-CNN for image restoration
0,computer vision CNN,2019,Libra r-cnn: Towards balanced learning for object detection
1,computer vision CNN,2018,Shufflenet v2: Practical guidelines for efficient cnn architecture design
2,computer vision CNN,2018,A CNN accelerator on FPGA using depthwise separable convolution
3,computer vision CNN,2017,CNN architectures for large-scale audio classification
4,computer vision CNN,2020,Comparison of CNN and YOLO for Object Detection
5,computer vision CNN,2020,Deep Learning Techniques—R-CNN to Mask R-CNN: A Survey
6,computer vision CNN,2020,Attention-guided CNN for image denoising
7,computer vision CNN,2017,CAS-CNN: A deep convolutional neural network for image compression artifact suppression
8,computer vision CNN,2019,Car detection using unmanned aerial vehicles: Comparison between faster r-cnn and yolov3
9,computer vision CNN,2016,Face attribute prediction using off-the-shelf CNN features
0,computer vision CNN,2019,Single image dehazing using CNN
1,computer vision CNN,2018,Shapeshifter: Robust physical adversarial attack on faster r-cnn object detector
2,computer vision CNN,2017,Integrating stereo vision with a CNN tracker for a person-following robot
3,computer vision CNN,2016,Facial expression recognition with CNN ensemble
4,computer vision CNN,2019,A deep learning-based approach for mitigating falls from height with computer vision: Convolutional neural network
5,computer vision CNN,2018,Periocular recognition using CNN features off-the-shelf
6,computer vision CNN,2016,CNN image retrieval learns from BoW: Unsupervised fine-tuning with hard examples
7,computer vision CNN,2017,LeafNet: A computer vision system for automatic plant species identification
8,computer vision CNN,2019,A high-performance CNN processor based on FPGA for MobileNets
9,computer vision CNN,2018,Deep learning for computer vision: A brief review
0,cnn image detection,2015,Fast r-cnn
1,cnn image detection,2016,"Deep convolutional neural networks for computer-aided detection: CNN architectures, dataset characteristics and transfer learning"
2,cnn image detection,2018,Convolutional neural network (CNN) for image detection and recognition
3,cnn image detection,2017,T-cnn: Tubelets with convolutional neural networks for object detection from videos
4,cnn image detection,2017,Face detection with the faster R-CNN
5,cnn image detection,2014,Food detection and recognition using convolutional neural network
6,cnn image detection,2016,Pornographic image detection utilizing deep convolutional neural networks
